"0",""
"0","###  Chunk 1 ###"
"0","setwd(""C:/Users/david/Desktop/Spring-Semester-/Missing Data"")"
"0",""
"0",""
"0","MainDF = read.csv(""Raw.csv"")"
"0","StoreDF = read.csv(""StoreTable.csv"")"
"0","ConcessDF = read.csv(""ConcessTable.csv"")"
"0","CustomerDF = read.csv(""CustomerTable.csv"")"
"0",""
"0",""
"0"," ### initialize variables to hold column and row names that are excluded."
"0",""
"0","excluded_cols <- c()  # or character(0)"
"0","excluded_rows <- c()  # or character(0)"
"0",""
"0",""
"0",""
"0",""
"0","### View Data in Viewer and variables in Global Environment for common sense  ***************************************************"
"0","### What do you notice about the data? Do you need to report this outside a chunk???"
"0",""
"0","dim(MainDF)"
"1","[1]"
"1"," 9447"
"1","   48"
"1","
"
"0","dim(StoreDF)"
"1","[1]"
"1"," 9272"
"1","    3"
"1","
"
"0","dim(ConcessDF)"
"1","[1]"
"1"," 9272"
"1","    3"
"1","
"
"0","dim(CustomerDF)"
"1","[1]"
"1"," 14272"
"1","     7"
"1","
"
"0","colSums(is.na(MainDF))"
"1","               Cust_ID "
"1","                tenure "
"1","          Rejoined_STH "
"1","                 DistA "
"1","
"
"1","                     0 "
"1","                   592 "
"1","                     0 "
"1","                  1389 "
"1","
"
"1","               PerUsed "
"1","             PerTransf "
"1","               PerSold "
"1","              NumSeats "
"1","
"
"1","                     0 "
"1","                     0 "
"1","                     0 "
"1","                     0 "
"1","
"
"1","              Mult_Loc "
"1","                   Sex "
"1","     Educational_Level "
"1","                   Age "
"1","
"
"1","                     0 "
"1","                   667 "
"1","                  6612 "
"1","                   986 "
"1","
"
"1","               Marital "
"1","            Job_Sector "
"1","          Num_Children "
"1","            State_Name "
"1","
"
"1","                  1155 "
"1","                  6612 "
"1","                   406 "
"1","                     0 "
"1","
"
"1","     Mode_of_Transport "
"1","  Favorite_Caps_Player "
"1","         Favorite_Team "
"1","        Favorite_Sport "
"1","
"
"1","                  6612 "
"1","                  6612 "
"1","                     0 "
"1","                  6612 "
"1","
"
"1","             UnempRate "
"1","               InfRate "
"1","           Survey_Comp "
"1","      Team_Network_Sub "
"1","
"
"1","                     0 "
"1","                     0 "
"1","                     0 "
"1","                     0 "
"1","
"
"1","              Rep_Name "
"1","          STH_Attended "
"1","             Rep_Calls "
"1","            Rep_Visits "
"1","
"
"1","                   871 "
"1","                     0 "
"1","                   433 "
"1","                   508 "
"1","
"
"1","          Arrival_Time "
"1","            Team_B_STH "
"1","            Team_C_STH "
"1","           Total.Spent "
"1","
"
"1","                     0 "
"1","                  6612 "
"1","                  6612 "
"1","                     0 "
"1","
"
"1","        Net_Worth_True "
"1"," HouseHold_Income_True "
"1","       NHL_Team_Record "
"1","              Playoffs "
"1","
"
"1","                  5762 "
"1","                  5691 "
"1","                     0 "
"1","                     0 "
"1","
"
"1","Last_Team_Championship "
"1","           ticket_form "
"1","      Weekday_Attended "
"1","          Weekday_Sold "
"1","
"
"1","                     0 "
"1","                     0 "
"1","                     0 "
"1","                     0 "
"1","
"
"1","        First_Year_STH "
"1","      Weekend.Attended "
"1","          Weekend.Sold "
"1","      Additional_Seats "
"1","
"
"1","                     0 "
"1","                     0 "
"1","                     0 "
"1","                     0 "
"1","
"
"1","      Seating_Location "
"1","        Auto_Renew_STH "
"1","          Account_Type "
"1","                   Y01 "
"1","
"
"1","                     0 "
"1","                     0 "
"1","                     0 "
"1","                     0 "
"1","
"
"0","colSums(is.na(StoreDF))"
"1","          Cust_ID "
"1","spent_other_teams "
"1"," Team_Store_Total "
"1","
"
"1","                0 "
"1","                0 "
"1","                0 "
"1","
"
"0","colSums(is.na(ConcessDF))"
"1","              Cust_ID "
"1","     Concession_Total "
"1","Most_Purch_Concession "
"1","
"
"1","                    0 "
"1","                    0 "
"1","                    0 "
"1","
"
"0","colSums(is.na(CustomerDF))"
"1","     Cust_ID "
"1","   State_Loc "
"1","   Zip_Codes "
"1","        Name "
"1","     Address "
"1","    PhoneNum "
"1","Last_Contact "
"1","
"
"1","           0 "
"1","           0 "
"1","           0 "
"1","       14272 "
"1","       14272 "
"1","       14272 "
"1","           0 "
"1","
"
