"0",""
"0",""
"0","library(openxlsx)"
"0",""
"0",""
"0",""
"0","df1 <- read_excel(""Meters Data 2024.xlsx"", sheet = ""Emerald Pickups"", range = ""A1:P50074"")"
"0",""
"0",""
"0","library(janitor)"
"0",""
"0","df1 <- clean_names(df1)"
"0","names(df1)"
"1"," [1]"
"1"," ""date_year""           "
"1"," ""date_quarter""        "
"1"," ""date_month""          "
"1"," ""plant""               "
"1","
"
"1"," [5]"
"1"," ""sales_rep""           "
"1"," ""customer_id""         "
"1"," ""customer_name""       "
"1"," ""customer_type""       "
"1","
"
"1"," [9]"
"1"," ""tec""                 "
"1"," ""customer_group""      "
"1"," ""state""               "
"1"," ""job_type_id""         "
"1","
"
"1","[13]"
"1"," ""job_type_description"""
"1"," ""unit""                "
"1"," ""department""          "
"1"," ""pickups""             "
"1","
"
"0","library(dplyr)"
"0","library(tidyr)"
"0","library(lubridate)"
"0",""
"0","library(dplyr)"
"0",""
"0","df1 <- df1 %>%"
"0","  mutate("
"0","    month_num = match(trimws(date_month), month.name)"
"0","  )"
"0",""
"0",""
"0","df1 <- df1 %>%"
"0","  mutate("
"0","    quarter_num = as.integer(gsub(""Qtr "", """", date_quarter))"
"0","  )"
"0",""
"0",""
