GEOID,ID,Name,State,Annual_Temperature_Avg,Temperature_Baseline,Temperature_Anomaly,Annual_Heating_Degree_Days,Heating_DD_Baseline,Heating_DD_Anomaly,Annual_Cooling_Degree_Days,Cooling_DD_Baseline,Cooling_DD_Anomaly,Heating_Intensity,Cooling_Intensity,Heating_to_Cooling_Ratio,High_Heating_Demand,Very_High_Heating_Demand,Extreme_Heating_Demand,Climate_Category,Is_Very_Cold_Climate,Is_Cold_Climate,Is_Warm_Climate,Is_Warming_Significantly,Temperature_Change_Rate,Heating_Burden_Index,Climate_Extremity,Heating_Efficiency_Change
01001,AL-001,Autauga County,Alabama,65.7,63.9,1.8,10231,12307,-2076,12172,10471,1701,28.03013698630137,33.347945205479455,0.8404666064240532,1,1,1,Warm,0,0,1,0,2.8169014084507045,160.1095461658842,1.8,16.868448850247827
01003,AL-003,Baldwin County,Alabama,68.8,66.8,2,7026,8849,-1823,13984,12205,1779,19.24931506849315,38.31232876712329,0.502395423668216,1,1,0,Warm,0,0,1,0,2.9940119760479043,105.17964071856288,2,20.601197875466156
01005,AL-005,Barbour County,Alabama,66,64.8,1.3,9113,11164,-2051,12328,10869,1459,24.96712328767123,33.775342465753425,0.7391515938032281,1,1,1,Warm,0,0,1,0,2.006172839506173,140.63271604938274,1.3,18.371551415263347
01007,AL-007,Bibb County,Alabama,64.1,62.7,1.4,11766,13795,-2029,10823,9809,1014,32.23561643835617,29.65205479452055,1.0870288248337028,1,1,1,Warm,0,0,1,0,2.2328548644338113,187.6555023923445,1.4,14.70822761870243
01009,AL-009,Blount County,Alabama,62.7,60.6,2.1,13259,16187,-2928,10086,8319,1767,36.326027397260276,27.632876712328766,1.314464161792406,1,1,1,Warm,0,0,1,1,3.4653465346534658,218.79537953795378,2.1,18.088589608945448
01011,AL-011,Bullock County,Alabama,65.5,64.1,1.4,9542,11890,-2348,12080,10405,1675,26.14246575342466,33.0958904109589,0.789835278536545,1,1,1,Warm,0,0,1,0,2.1840873634945397,148.86115444617786,1.4,19.747687132043733
01013,AL-013,Butler County,Alabama,66.2,64.6,1.6,9223,11365,-2142,12141,10712,1429,25.268493150684932,33.26301369863014,0.7595947949267007,1,1,1,Warm,0,0,1,0,2.4767801857585146,142.77089783281735,1.6,18.847338319401672
01015,AL-015,Calhoun County,Alabama,62.9,60.9,2,12569,15645,-3076,10260,8397,1863,34.43561643835616,28.10958904109589,1.224929344118507,1,1,1,Warm,0,0,1,0,3.284072249589491,206.38752052545158,2,19.661233620965167
01017,AL-017,Chambers County,Alabama,63.1,61.5,1.6,12209,14579,-2370,9836,8408,1428,33.44931506849315,26.947945205479453,1.2411304259428688,1,1,1,Warm,0,0,1,0,2.6016260162601625,198.52032520325204,1.6,16.25625900267508
01019,AL-019,Cherokee County,Alabama,62.1,60.6,1.5,13521,16293,-2772,9776,8399,1377,37.04383561643836,26.783561643835615,1.3829395520098189,1,1,1,Warm,0,0,1,0,2.4752475247524752,223.11881188118812,1.5,17.013441355183208
